fighter,date,event,avg_kd,avg_sig_str_landed,avg_sig_str_att,avg_total_str_landed,avg_total_str_att,avg_td_landed,avg_td_att,avg_sub_att,avg_ctrl_seconds,avg_head_landed,avg_body_landed,avg_leg_landed,avg_distance_landed,avg_clinch_landed,avg_ground_landed,weight_class,result,style
Milana Dudieva,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Diego Ferreira,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Timothy Johnson,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Michael Chiesa,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Mitch Clarke,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Al Iaquinta,2015-04-04,UFC Fight Night: Mendes vs Lamas,0.0,21.0,81.0,22.0,82.0,1.0,3.0,0.0,14.0,13.0,3.0,5.0,21.0,0.0,0.0,Lightweight,W,Mixed
Jorge Masvidal,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Julianna Pena,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Shamil Abdurakhimov,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Dustin Poirier,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Gray Maynard,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Yaotzin Meza,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Damian Stasiak,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Jan Blachowicz,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Jimi Manuwa,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Leon Edwards,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Joanne Wood,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Pawel Pawlak,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Sheldon Westcott,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Gabriel Gonzaga,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Mirko Filipovic,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Garreth McLellan,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Seth Baczynski,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Maryna Moroz,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Bartosz Fabinski,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Marcin Bandel,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Izabela Badurek,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Mickael Lebout,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Sergio Moraes,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Rocky Lee,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Daniel Omielanczuk,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Aleksandra Albu,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Anthony Hamilton,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Stevie Ray,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Taylor Lapilus,2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Jacare Souza,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Corey Anderson,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Ovince Saint Preux,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Luke Rockhold,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Jim Miller,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Gian Villante,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Chris Camozzi,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Patrick Cummins,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Diego Brandao,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Aljamain Sterling,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Takeya Mizugaki,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Paige VanZant,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Cub Swanson,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Lyoto Machida,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Felice Herrig,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Chris Dempsey,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Eddie Gordon,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Tim Means,2015-04-18,UFC on FOX: Machida vs Rockhold,2.0,23.0,42.0,25.0,47.0,0.0,0.0,0.0,22.0,16.0,5.0,2.0,11.0,10.0,2.0,Welterweight,W,Striker
Beneil Dariush,2015-04-18,UFC on FOX: Machida vs Rockhold,0.0,21.0,41.0,23.0,43.0,1.0,1.0,1.0,50.0,10.0,8.0,3.0,14.0,1.0,6.0,Lightweight,W,Mixed
George Sullivan,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Max Holloway,2015-04-18,UFC on FOX: Machida vs Rockhold,0.0,12.0,48.0,14.0,51.0,0.0,0.0,0.0,75.0,4.0,5.0,3.0,8.0,3.0,1.0,Featherweight,W,Muay_Thai
Jimy Hettes,2015-04-18,UFC on FOX: Machida vs Rockhold,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Nordine Taleb,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Chris Clements,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Kyoji Horiguchi,2015-04-25,UFC 186: Johnson vs Horiguchi,0.0,11.0,27.0,13.0,29.0,0.0,0.0,0.0,26.0,5.0,4.0,2.0,11.0,0.0,0.0,UFC Flyweight Title,L,Mixed
Fabio Maldonado,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Catch Weight,L,Mixed
Thomas Almeida,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Demetrious Johnson,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,UFC Flyweight Title,W,Mixed
John Makdessi,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Catch Weight,W,Mixed
Michael Bisping,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Yves Jabouin,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Shane Campbell,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Catch Weight,L,Mixed
David Michaud,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Alexis Davis,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Sarah Kaufman,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
CB Dollaway,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Chad Laprise,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Bryan Barberena,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Valerie Letourneau,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Aisling Daly,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Randa Markos,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Patrick Cote,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Quinton Jackson,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Catch Weight,W,Mixed
Olivier Aubin-Mercier,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Joe Riggs,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Jessica Rakoczy,2015-04-25,UFC 186: Johnson vs Horiguchi,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Sam Alvey,2015-05-09,UFC Fight Night: Miocic vs Hunt,1.0,4.0,8.0,4.0,8.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,2.0,Middleweight,W,Mixed
Anthony Perosh,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Sean O'Connell,2015-05-09,UFC Fight Night: Miocic vs Hunt,0.0,18.0,39.0,44.0,66.0,0.0,1.0,0.0,149.0,10.0,7.0,1.0,9.0,9.0,0.0,Light Heavyweight,W,Muay_Thai
Daniel Kelly,2015-05-09,UFC Fight Night: Miocic vs Hunt,0.0,16.0,50.0,16.0,50.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,Middleweight,L,Mixed
Lisa Ellis,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Bec Rawlings,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Robert Whittaker,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Brad Tavares,2015-05-09,UFC Fight Night: Miocic vs Hunt,0.0,12.0,36.0,12.0,36.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,11.0,1.0,0.0,Middleweight,L,Mixed
Ben Nguyen,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Stipe Miocic,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Alptekin Ozkilic,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Vik Grujic,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Brendan O'Reilly,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Kyle Noke,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Brad Scott,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Mark Hunt,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Jonavin Webb,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Dylan Andrews,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Kailin Curran,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Dan Hooker,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Featherweight,W,Mixed
James Vick,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Hatsu Hioki,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Jake Matthews,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Alex Chambers,2015-05-09,UFC Fight Night: Miocic vs Hunt,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Dhiego Lima,2015-05-16,UFC Fight Night: Edgar vs Faber,0.0,7.0,24.0,7.0,24.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,4.0,3.0,0.0,Welterweight,L,Mixed
Li Jingliang,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Royston Wee,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Luke Barnatt,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Yui Chul Nam,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Kajan Johnson,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Zhang Lipeng,2015-05-16,UFC Fight Night: Edgar vs Faber,0.0,16.0,22.0,27.0,33.0,0.0,3.0,0.0,113.0,2.0,4.0,10.0,3.0,13.0,0.0,Lightweight,L,Muay_Thai
Levan Makashvili,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Mark Munoz,2015-05-16,UFC Fight Night: Edgar vs Faber,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,W,Mixed
Guangyou Ning,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Yao Zhikui,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Gegard Mousasi,2015-05-16,UFC Fight Night: Edgar vs Faber,1.0,4.0,22.0,5.0,24.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,1.0,Middleweight,W,Mixed
Hyun Gyu Lim,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Mark Eddiva,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Tae Hyun Bang,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Urijah Faber,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Constantinos Philippou,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Jon Delos Reyes,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Roldan Sangcha'an,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Nolan Ticman,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Neil Magny,2015-05-16,UFC Fight Night: Edgar vs Faber,0.0,24.0,45.0,43.0,64.0,0.0,1.0,0.0,119.0,11.0,12.0,1.0,11.0,13.0,0.0,Welterweight,W,Muay_Thai
Frankie Edgar,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Phillipe Nover,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Jon Tuck,2015-05-16,UFC Fight Night: Edgar vs Faber,,,,,,,,,,,,,,,,Lightweight,W,Mixed
John Dodson,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Justin Scoggins,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Chris Weidman,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,UFC Middleweight Title,W,Mixed
Donald Cerrone,2015-05-23,UFC 187: Johnson vs Cormier,0.0,10.0,23.0,16.0,31.5,0.0,0.0,1.0,102.5,3.0,4.0,3.0,9.0,1.0,0.0,Lightweight,W,Mixed
John Moraga,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Daniel Cormier,2015-05-23,UFC 187: Johnson vs Cormier,0.0,18.0,48.0,21.0,51.0,0.0,1.0,0.0,0.0,15.0,1.0,2.0,12.0,6.0,0.0,UFC Light Heavyweight Title,W,Muay_Thai
Rafael Natal,2015-05-23,UFC 187: Johnson vs Cormier,0.0,23.0,51.0,27.0,55.0,3.0,4.0,0.0,80.0,10.0,2.0,11.0,23.0,0.0,0.0,Middleweight,W,Mixed
Uriah Hall,2015-05-23,UFC 187: Johnson vs Cormier,1.0,27.0,41.0,33.0,47.0,0.0,0.0,0.0,32.0,13.0,5.0,9.0,18.0,0.0,9.0,Middleweight,L,Striker
Joseph Benavidez,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Anthony Johnson,2015-05-23,UFC 187: Johnson vs Cormier,1.0,30.0,47.0,38.0,56.0,0.0,0.0,0.0,32.0,29.0,0.0,1.0,9.0,4.0,17.0,UFC Light Heavyweight Title,L,Striker
Vitor Belfort,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,UFC Middleweight Title,L,Mixed
Dong Hyun Kim,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Zach Makovsky,2015-05-23,UFC 187: Johnson vs Cormier,0.0,9.0,12.0,42.0,48.0,3.0,3.0,0.0,228.0,7.0,0.0,2.0,4.0,0.0,5.0,Flyweight,L,Mixed
John Makdessi,2015-05-23,UFC 187: Johnson vs Cormier,2.0,47.0,98.0,59.0,114.0,0.0,2.0,0.0,67.0,39.0,7.0,1.0,26.0,6.0,15.0,Lightweight,L,Striker
Leo Kuntz,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Travis Browne,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Joshua Burkman,2015-05-23,UFC 187: Johnson vs Cormier,0.0,17.0,42.0,17.0,42.0,0.0,1.0,0.0,0.0,7.0,5.0,5.0,15.0,2.0,0.0,Welterweight,L,Mixed
Josh Sampo,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Mike Pyle,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Andrei Arlovski,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Islam Makhachev,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Colby Covington,2015-05-23,UFC 187: Johnson vs Cormier,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Damon Jackson,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Featherweight,L,Mixed
KJ Noons,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Elizeu Zaleski dos Santos,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Nicolas Dalby,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Alex Oliveira,2015-05-30,UFC Fight Night: Condit vs Alves,0.0,10.0,35.0,12.0,39.0,0.0,0.0,0.0,40.0,8.0,1.0,1.0,10.0,0.0,0.0,Welterweight,W,Mixed
Ericka Almeida,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Juliana Lima,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Wendell Oliveira Marques,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Francisco Trinaldo,2015-05-30,UFC Fight Night: Condit vs Alves,0.0,7.0,20.0,28.0,43.0,1.0,1.0,0.0,293.0,5.0,0.0,2.0,0.0,2.0,5.0,Lightweight,W,Mixed
Thiago Alves,2015-05-30,UFC Fight Night: Condit vs Alves,0.0,15.0,55.0,16.0,56.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,14.0,1.0,0.0,Welterweight,L,Mixed
Norman Parke,2015-05-30,UFC Fight Night: Condit vs Alves,0.0,15.0,49.0,15.0,49.0,0.0,2.0,0.0,3.0,5.0,6.0,4.0,13.0,2.0,0.0,Lightweight,L,Mixed
Carlos Condit,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Luiz Dutra,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Francimar Barroso,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Nik Lentz,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Ryan Jimmo,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Mirsad Bektic,2015-05-30,UFC Fight Night: Condit vs Alves,0.0,15.0,21.0,50.0,67.0,1.0,1.0,0.0,270.0,15.0,0.0,0.0,2.0,0.0,13.0,Featherweight,W,Mixed
Rony Jason,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Tom Breese,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Wilson Reis,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Charles Oliveira,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Darren Till,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Jussier Formiga,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Lucas Martins,2015-05-30,UFC Fight Night: Condit vs Alves,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Christos Giagos,2015-06-06,UFC Fight Night: Boetsch vs Henderson,0.0,18.0,34.0,37.0,54.0,1.0,1.0,1.0,161.0,18.0,0.0,0.0,2.0,0.0,16.0,Lightweight,L,Mixed
Anthony Birchak,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Chris Wade,2015-06-06,UFC Fight Night: Boetsch vs Henderson,0.0,16.0,17.0,41.0,42.0,1.0,3.0,0.0,133.0,6.0,3.0,7.0,6.0,8.0,2.0,Lightweight,W,Muay_Thai
Ben Rothwell,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Justin Edwards,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Alex Caceres,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Francisco Rivera,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Omari Akhmedov,2015-06-06,UFC Fight Night: Boetsch vs Henderson,0.0,32.0,85.0,36.0,91.0,2.0,4.0,0.0,51.0,19.0,11.0,2.0,20.0,2.0,10.0,Welterweight,W,Mixed
Brian Ebersole,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Matt Mitrione,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Joe Soto,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Shawn Jordan,2015-06-06,UFC Fight Night: Boetsch vs Henderson,1.0,12.0,31.0,13.0,32.0,0.0,0.0,0.0,3.0,10.0,1.0,1.0,8.0,0.0,4.0,Heavyweight,W,Mixed
Dan Henderson,2015-06-06,UFC Fight Night: Boetsch vs Henderson,0.0,4.0,11.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,Middleweight,W,Mixed
Dustin Poirier,2015-06-06,UFC Fight Night: Boetsch vs Henderson,2.0,24.0,50.0,29.0,56.0,0.0,0.0,0.0,46.0,20.0,1.0,3.0,20.0,1.0,3.0,Lightweight,W,Striker
Ricardo Abreu,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Joe Proctor,2015-06-06,UFC Fight Night: Boetsch vs Henderson,,,,,,,,,,,,,,,,Lightweight,W,Mixed
